Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nn,00403562,9,"Monday, February 18, 2013 16:20:05 UTC",38.0341,-118.0504,1.4,7.50,16,"Nevada"
us,2013lua7,5,"Monday, February 18, 2013 16:19:48 UTC",-15.6585,-72.2182,4.5,111.20,25,"southern Peru"
ak,10657838,2,"Monday, February 18, 2013 16:14:48 UTC",54.2895,-161.5244,2.7,25.80, 9,"Alaska Peninsula"
ak,10657839,1,"Monday, February 18, 2013 16:12:32 UTC",62.0820,-148.3157,1.5,38.50, 4,"Central Alaska"
ak,10657833,2,"Monday, February 18, 2013 16:09:23 UTC",54.3318,-161.2724,2.1,9.90, 7,"Alaska Peninsula"
us,2013lua6,6,"Monday, February 18, 2013 16:01:57 UTC",25.6383,125.0527,4.8,6.80,57,"southwestern Ryukyu Islands, Japan"
ak,10657825,1,"Monday, February 18, 2013 15:54:01 UTC",59.8077,-152.3101,2.5,58.40, 8,"Southern Alaska"
ak,10657816,1,"Monday, February 18, 2013 15:26:46 UTC",63.4950,-151.0083,1.5,11.40, 6,"Central Alaska"
us,2013lua3,3,"Monday, February 18, 2013 15:22:15 UTC",5.0689,96.1691,4.5,62.70,23,"northern Sumatra, Indonesia"
nc,71939795,0,"Monday, February 18, 2013 15:20:08 UTC",40.4750,-124.1870,1.6,20.50, 7,"Northern California"
ci,11246258,0,"Monday, February 18, 2013 14:41:45 UTC",32.6448,-115.7288,1.7,0.10,12,"Baja California, Mexico"
ak,10657797,1,"Monday, February 18, 2013 14:38:44 UTC",62.0594,-145.1853,1.9,19.80, 9,"Central Alaska"
ak,10657798,1,"Monday, February 18, 2013 14:38:34 UTC",60.2828,-141.4698,1.7,9.50, 5,"Southern Alaska"
us,2013lua2,5,"Monday, February 18, 2013 14:25:01 UTC",-9.9918,119.0234,4.6,46.00,32,"Sumba region, Indonesia"
nc,71939785,2,"Monday, February 18, 2013 14:20:14 UTC",38.7718,-122.7025,1.5,2.50,41,"Northern California"
nc,71939780,0,"Monday, February 18, 2013 14:13:42 UTC",38.8068,-122.8213,1.1,3.10,21,"Northern California"
nc,71939770,2,"Monday, February 18, 2013 14:03:55 UTC",36.6657,-120.8863,1.5,5.10,26,"Central California"
ak,10657790,2,"Monday, February 18, 2013 13:35:33 UTC",53.5857,-167.0052,2.6,4.80,22,"Fox Islands, Aleutian Islands, Alaska"
us,2013luaz,5,"Monday, February 18, 2013 13:13:47 UTC",9.1320,-69.7141,4.6,10.00,28,"Portuguesa, Venezuela"
us,2013luay,4,"Monday, February 18, 2013 13:06:44 UTC",-15.5209,-177.1505,4.4,398.70,96,"Fiji region"
us,2013luax,8,"Monday, February 18, 2013 13:00:33 UTC",40.0519,77.7050,4.9,36.30,70,"southern Xinjiang, China"
ci,11246242,0,"Monday, February 18, 2013 12:53:39 UTC",33.1838,-115.6057,1.6,0.30,14,"Southern California"
ak,10657780,2,"Monday, February 18, 2013 12:28:30 UTC",62.1083,-145.2913,1.5,20.50, 8,"Central Alaska"
ak,10657776,1,"Monday, February 18, 2013 12:22:49 UTC",61.8086,-149.4260,1.8,41.50,10,"Southern Alaska"
us,c000f9p5,7,"Monday, February 18, 2013 12:19:19 UTC",-30.6821,-178.1273,6.1,34.10,300,"Kermadec Islands, New Zealand"
nc,71939730,1,"Monday, February 18, 2013 12:01:52 UTC",36.0497,-120.1692,2.0,12.10,22,"Central California"
us,c000f9ny,5,"Monday, February 18, 2013 12:01:48 UTC",1.9015,99.0654,4.7,127.00,47,"northern Sumatra, Indonesia"
ci,11246202,0,"Monday, February 18, 2013 11:44:27 UTC",34.1530,-116.4342,1.2,9.20,23,"Southern California"
nc,71939720,0,"Monday, February 18, 2013 11:19:50 UTC",38.8210,-122.7622,1.2,2.30,17,"Northern California"
ak,10657756,1,"Monday, February 18, 2013 11:14:37 UTC",64.2182,-147.8803,2.4,0.00,24,"Central Alaska"
