Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71938320,3,"Saturday, February 16, 2013 02:51:29 UTC",38.8117,-122.8097,2.3,3.10,73,"Northern California"
ak,10657003,1,"Saturday, February 16, 2013 02:41:40 UTC",64.2383,-150.3503,1.4,3.00, 7,"Central Alaska"
pr,13047000,0,"Saturday, February 16, 2013 02:41:03 UTC",18.0928,-65.0071,2.6,7.00, 5,"Virgin Islands region"
ak,10656989,1,"Saturday, February 16, 2013 02:13:48 UTC",63.9335,-148.7777,2.4,0.10,26,"Central Alaska"
nc,71938305,1,"Saturday, February 16, 2013 02:05:14 UTC",38.8220,-122.7862,1.3,2.10,22,"Northern California"
nc,71938300,0,"Saturday, February 16, 2013 02:02:42 UTC",38.7525,-122.7343,1.2,2.20,15,"Northern California"
us,c000f8a9,6,"Saturday, February 16, 2013 02:01:17 UTC",67.6540,142.4364,4.9,16.80,229,"northeastern Sakha, Russia"
us,c000f89y,8,"Saturday, February 16, 2013 01:32:48 UTC",37.3572,141.4458,4.7,34.80,156,"near the east coast of Honshu, Japan"
us,c000f89z,5,"Saturday, February 16, 2013 01:30:05 UTC",38.3398,141.8918,4.6,35.10,74,"near the east coast of Honshu, Japan"
ak,10656968,1,"Saturday, February 16, 2013 01:21:45 UTC",63.2115,-150.5518,1.6,113.60,15,"Central Alaska"
us,c000f8a8,3,"Saturday, February 16, 2013 01:20:26 UTC",-26.2824,71.5844,5.0,9.00,64,"Mid-Indian Ridge"
nm,021613c,A,"Saturday, February 16, 2013 01:15:18 UTC",35.4618,-92.1795,2.0,4.10,12,"Arkansas"
uw,60506471,1,"Saturday, February 16, 2013 01:10:37 UTC",46.1880,-123.1027,1.1,18.00,20,"Washington"
nc,71938285,2,"Saturday, February 16, 2013 01:06:24 UTC",38.4573,-122.0087,2.0,0.00,37,"Northern California"
nc,71938265,0,"Saturday, February 16, 2013 00:28:56 UTC",38.7752,-122.7558,1.1,0.60,13,"Northern California"
